,azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
0,0,1.5645857470178106,-9.7836108744105,13.93154458356972,9.717189996560194,(3.7323170235712495+0.03679971643866688j),(3.0665335027399956+0.5599663142845005j),5.6
1,2,1.6874339741687243,-10.58615331510411,13.199255247945809,8.94964955771143,(3.630896811902165+0.12587132026202716j),(2.919872098922578+0.6511501237386725j),5.6
2,4,1.8891732432899557,-11.82971646326962,12.759923248701424,8.259062217508438,(3.566805040533563+0.1944866358539615j),(2.7765719628612846+0.7414245427291117j),5.6
3,6,2.168193359471411,-13.56463743512539,12.589942397519836,7.6419537885053685,(3.539916678522413+0.24275977145870448j),(2.63664132547645+0.830708317819895j),5.6
4,8,2.5203615091474467,-15.817874411058893,12.675863298356012,7.094820235396034,(3.549999426593852+0.27086411637449115j),(2.500083411493757+0.918914126004041j),5.6
5,10,2.939440218585791,-18.589732887261878,13.014191881243793,6.614136962248431,(3.5967114063217007+0.2790321502608024j),(2.3668976328168916+1.0059485861684114j),5.6
6,12,3.4175388250696304,-21.85388413381693,13.611028171689272,6.196365830281945,(3.6795981058571643+0.2675555102434706j),(2.2370806872170217+1.0917123381012797j),5.6
7,14,3.9455375667731123,-25.56037436561073,14.481544927585878,5.837960326361442,(3.7980886838522974+0.23678529764113532j),(2.110627553941009+1.1761001891448006j),5.6
8,16,4.513484737832034,-29.640835743483468,15.64930572486778,5.5353693060499705,(3.9514917582900946+0.18713259746296118j),(1.9875323794513853+1.2590013291026683j),5.6
9,18,5.110999364200807,-34.01488400116904,17.145422561002828,5.285039732615138,(4.138990830212753+0.11906917492606672j),(1.8677892482943017+1.340299614478548j),5.6
10,20,5.727703440367385,-38.59669751521871,19.00755417095116,5.083418824640875,(4.359639513355416+0.0331283042321443j),(1.751392836035723+1.419873923460679j),5.6
11,22,6.353673883942515,-43.300960359270405,21.278748085092662,4.926956009487321,(4.612356758840689-0.07009432408747984j),(1.6383389432718718+1.4975985832145164j),5.6
12,24,6.979870903142701,-48.047640173748015,24.00613204326505,4.812105057420225,(4.895922278937615-0.18993967954949753j),(1.5286249118629716+1.573343870948798j),5.6
13,26,7.598486019614019,-52.76537514509143,27.23946371416862,4.735326741434612,(5.208972384857364-0.3256845221406818j),(1.422249926708624+1.6469765898190312j),5.6
14,28,8.203164028745922,-57.39349235480863,31.029551713964025,4.693092330460305,(5.549996460297682-0.4765406642115888j),(1.3192152084982487+1.7183607200256956j),5.6
15,30,8.789080149490164,-61.88283800848393,35.426565583059876,4.6818881787714695,(5.917334294552802-0.6416544471669776j),(1.2195241048587038+1.7873581444243474j),5.6
16,32,9.352883098394065,-66.19567250565319,40.47825752843277,4.6982216224871465,(6.30917449618189-0.8201065206183618j),(1.1231820891144086+1.8538294466265604j),5.6
17,34,9.892536241982642,-70.30489507687793,46.22812418497561,4.738628335815638,(6.723554200322108-1.0109120141271155j),(1.0301966774007818+1.9176347779720797j),5.6
18,36,10.40709804926847,-74.19284057529738,52.713542162047254,4.799681236285219,(7.158360269629366-1.2130211919991518j),(0.940577276051394+1.9786347879436867j),5.6
19,38,10.89648108803613,-77.84985336056816,59.963916450761815,4.878000961413499,(7.611332170603421-1.425320679531179j),(0.8543349720081324+2.0366916106807538j),5.6
20,40,11.361219996420967,-81.27279990932679,67.9988855722033,4.97026787078944,(8.080066683784661-1.6466353445120956j),(0.7714822793957041+2.091669898279327j),5.6
21,42,11.802267714569467,-84.46363798839032,76.82663132946837,5.073235459902682,(8.562024578370776-1.875730910563423j),(0.6920328554131192+2.143437889683638j),5.6
22,44,12.220829040720652,-87.428119420295,86.44234386400794,5.183745007406179,(9.054539349476777-2.1113173690339915j),(0.6160011982945051+2.191868502238652j),5.6
23,46,12.618232914791601,-90.17466840039765,96.82689410217539,5.298741218342321,(9.55482808011887-2.3520532437739097j),(0.5434023393430341+2.23684043148787j),5.6
24,48,12.995840051981684,-92.71344976597024,107.94576533566206,5.415288574444364,(10.060004450640722-2.5965507483488306j),(0.47425153997987834+2.2782392436421333j),5.6
25,50,13.354980209186476,-95.0556220844061,119.74829338445578,5.530588060928919,(10.567093876357326-2.843381858405108j),(0.40856400347403987+2.3159584443582277j),5.6
26,52,13.696912749373173,-97.21275827857482,132.16726039091625,5.641993908793936,(11.073050710565461-3.091085303281357j),(0.3463546095547123+2.349900507092617j),5.6
27,54,14.02280457874195,-99.19641035771443,145.1188807194789,5.747029973674395,(11.574777405517365-3.338174461019619j),(0.287637678583172+2.379977844336724j),5.6
28,56,14.33372043320741,-101.01779302577852,158.50320872213587,5.843405367389128,(12.069145479449059-3.5831461201059325j),(0.23242677039923088+2.4061137054991626j),5.6
29,58,14.630621532730002,-102.68756194807241,172.20498741815217,5.929028966426329,(12.553018094279693-3.8244900500378862j),(0.1807345214493825+2.428242986025656j),5.6
30,60,14.914369605938928,-104.21566502180691,186.0949446832242,6.002022442356342,(13.023274007088762-4.060699301784173j),(0.13257252237012196+2.4463129335121385j),5.6
31,62,15.185734122776362,-105.61124821573495,200.03152971861707,6.060731491641862,(13.47683262004773-4.290281138787352j),(0.087951236879805+2.460283738021526j),5.6
32,64,15.445401234880688,-106.88260083712949,213.86306784324626,6.103734985146433,(13.91067981898284-4.511768479985401j),(0.04687996164054109+2.4701289954864736j),5.6
33,66,15.693983422366212,-108.03712811848746,227.43029658373163,6.1298518093461976,(14.321894261300702-4.723731718869481j),(0.009366825664557155+2.4758360349431805j),5.6
34,68,15.932029206604133,-109.08134163248893,240.5692312497059,6.138145229991879,(14.707673750385037-4.9247907673261455j),(-0.024581173115772792+2.4774061023417477j),5.6
35,70,16.16003254015762,-110.02086019540523,253.1142943360724,6.127924672761927,(15.06536131662495-5.113627160403173j),(-0.05495809736796975+2.4748543957767737j),5.6
36,72,16.37844165330237,-110.86041562165978,264.90163085580326,6.098744882361307,(15.392470615653771-5.288996048593578j),(-0.08175897000456178+2.468209949170674j),5.6
37,74,16.587667243171172,-111.60385899231336,275.7725217078994,6.050402489394937,(15.68671025264672-5.44973789804681j),(-0.10497964869100773+2.457515363686593j),5.6
38,76,16.788089952981178,-112.25416405535614,285.57679999282266,5.982930081168612,(15.946006648033528-5.594789716664353j),(-0.12461668057160047+2.442826388446778j),5.6
39,78,16.980067116772034,-112.8134250418544,294.1761712597093,5.896587936274816,(16.168525074762155-5.723195625391183j),(-0.14066714308512918+2.4242113544678987j),5.6
40,80,17.16393874747186,-113.28284660978001,301.44733833981275,5.791853641422263,(16.352688520376354-5.834116599397396j),(-0.1531284771582735+2.401750468076451j),5.6
41,82,17.340032727136027,-113.66272385695692,307.2848348494568,5.669409860630978,(16.497194058084357-5.92683921322007j),(-0.16199831930525477+2.3755349724163715j),5.6
42,84,17.508669119469374,-113.95241040941069,311.6034786328542,5.530130569880971,(16.601026449383443-6.000783237188754j),(-0.16727433923702417+2.345666187954669j),5.6
43,86,17.67016346477498,-114.15027251781449,314.3403671616429,5.375066103219248,(16.6634687456082-6.055507949444181j),(-0.16895408945378154+2.312254445098137j),5.6
44,88,17.82482883236237,-114.25362690361933,315.45635085183756,5.20542737804577,(16.684109706254176-6.090717048222866j),(-0.16703487290478503+2.2754179240920673j),5.6
45,90,17.97297628798317,-114.2586598126376,314.9369368569988,5.02256967700991,(16.662847906653777-6.106262072391148j),(-0.16151363421352816+2.235281419189326j),5.6
46,92,18.11491327303691,-114.16032438413517,312.79259448311933,4.827976361648686,(16.599892465461494-6.102144263964437j),(-0.15238687908098303+2.1919750456455116j),5.6
47,94,18.25093917253517,-113.95221307855351,309.05845316070616,4.623242878571033,(16.495760381827868-6.078514833906736j),(-0.1396506254502068+2.1456329092793105j),5.6
48,96,18.38133704824405,-113.62640160446747,303.793404064283,4.410061393659436,(16.351270531760587-6.0356736211843725j),(-0.12330038874971372+2.096391759140835j),5.6
49,98,18.506360102861013,-113.17326068966138,297.0786361279194,4.190206354571992,(16.167534431539192-5.974066164089092j),(-0.103331202182539+2.044389644179285j),5.6
50,100,18.62621088234394,-112.58123239776424,289.0156555278804,3.965521238544686,(15.945943931563122-5.894279231536766j),(-0.07973767159920886+1.989764594687679j),5.6
51,102,18.74101046994825,-111.83656892207826,279.7238539378645,3.7379066931121563,(15.688156055665708-5.797034889574485j),(-0.05251406307477957+1.93265334871299j),5.6
52,104,18.85075392481467,-110.92303459919104,269.3377043479118,3.509310224180057,(15.396075247205037-5.683183204007429j),(-0.021654419973132555+1.8731901425844855j),5.6
53,106,18.955246924418457,-109.82157743489616,258.0036734774945,3.2817175311333067,(15.07183332340338-5.553693703207078j),(0.012847294933095554+1.8115055832500788j),5.6
54,108,19.05401697288694,-108.5099865760377,245.8769464620551,3.0571455346902336,(14.71776747244947-5.409645745237246j),(0.05099703771854891+1.7477256182920036j),5.6
55,110,19.146190723681855,-106.96256973923262,233.1180623939172,2.837637091966965,(14.336396653290809-5.252217949916904j),(0.09280050815456242+1.681970617357277j),5.6
56,112,19.230327247491573,-105.14991375772615,219.8895584762587,2.6252573465820848,(13.930396775446305-5.082676869022259j),(0.13826296786917514+1.6143545763858982j),5.6
57,114,19.304196225621467,-103.03883757627742,206.35271619604876,2.422091620905658,(13.502575045339551-4.902365076269039j),(0.18738905877519407+1.544984453500101j),5.6
58,116,19.364491687448968,-100.59271605225155,192.66449539117932,2.230244723770768,(13.05584386673887-4.712688862901551j),(0.24018262864967+1.473959642821235j),5.6
59,118,19.406479065466538,-97.77244772680494,178.97473185478827,2.051841520681903,(12.593194676062328-4.51510572474042j),(0.2966465704257768+1.4013715898848982j),5.6
60,120,19.423590979732214,-94.5384519972687,165.42366176390078,1.8890285948156158,(12.117672079156893-4.31111182247947j),(0.3567826811593191+1.327303549773142j),5.6
61,122,19.407021976959047,-90.85417468251333,152.13982237097235,1.7439768157488549,(11.632348635086093-4.102229589233524j),(0.42059154580321945+1.2518304866665106j),5.6
62,124,19.34543011656749,-86.6915665922594,139.2383637238653,1.618884628183295,(11.140300605533984-3.889995648095823j),(0.4880724498993141+1.1750191112626962j),5.6
63,126,19.224930255613227,-82.03871515044679,126.8197913231945,1.515981874132031,(10.644584956128838-3.6759491882981834j),(0.5592233240997802+1.096928050473149j),5.6
64,128,19.029631868120443,-76.90905174601754,114.969145203516,1.437533967989169,(10.148217859675954-3.4616209318858133j),(0.634040722102184+1.0176081420199576j),5.6
65,130,18.742965253709897,-71.35025298181866,103.75560746573872,1.3858462534154563,(9.65415491155009-3.248522804219167j),(0.7125198321755954+0.9371028450345874j),5.6
66,132,18.349860522824994,-65.44949185161434,93.23251824931224,1.36326838277304,(9.165273225704654-3.0381384016357202j),(0.7946545209768718+0.8554487565389632j),5.6
67,134,17.83945724400712,-59.331173797867415,83.43776985235279,1.37219857261723,(8.684355536643304-2.831914328775776j),(0.8804374068663394+0.7726762227529108j),5.6
68,136,17.207577394415537,-53.14503574293627,74.3945404232009,1.4150876013294393,(8.214076389401665-2.6312524569632245j),(0.9698599584654537+0.6888100335323434j),5.6
69,138,16.45803225498556,-47.04655497721063,66.11232247857251,1.4944424261996598,(7.7569904569821855-2.4375031341230744j),(1.0629126127631578+0.6038701878952607j),5.6
70,140,15.602217303857348,-41.175717681345404,58.58819746607065,1.6128293061683932,(7.315522983555506-2.251959356458686j),(1.1595849057353838+0.5178727184927342j),5.6
71,142,14.657209490692729,-35.64116462190988,51.808305604394825,1.7728763222406858,(6.891962312933577-2.075851892958184j),(1.2598656071973782+0.43083056303130074j),5.6
72,144,13.643188566264506,-30.513740461666686,45.74946014018025,1.9772751896554275,(6.4884544259276735-1.9103453360164568j),(1.3637428504923275+0.34275447099416345j),5.6
73,146,12.581078876632537,-25.828971721595224,40.38085673046466,2.2287822539360476,(6.1069993777469485-1.756535035421453j),(1.4712042466774409+0.2536539345137607j),5.6
74,148,11.4909431840852,-21.595042829676157,35.66583162280413,2.530218556719141,(5.749449498076961-1.6154448588134194j),(1.582236972081723+0.16353813285225594j),5.6
75,150,10.391210408561111,-17.80243129548522,31.563626359323866,2.884468847061491,(5.417509192116544-1.4880257096759513j),(1.6968278175645506+0.07241688063301266j),5.6
76,152,9.298536785810725,-14.432542100194059,28.03112156675271,3.2944793999588065,(5.112736160968316-1.3751547240509634j),(1.814963187461207-0.01969842936532995j),5.6
77,154,8.228019544339407,-11.464120988473507,25.02450770364419,3.7632544869305407,(4.836543844345275-1.2776350595416575j),(1.9366290361461824-0.11279389737946421j),5.6
78,156,7.1935223301929465,-8.877223062462189,22.500866131761196,4.293851324522707,(4.590204877705938-1.1961961847647786j),(2.0618107303634057-0.20685220975621066j),5.6
79,158,6.207948691112507,-6.654989573443369,20.41963930077354,4.88937330672944,(4.374855349526089-1.131494574223181j),(2.190492826016545-0.30185176146494275j),5.6
80,160,5.283370248746532,-4.783636548326179,18.743973961297083,5.552961308033025,(4.191499642306134-1.0841147124933959j),(2.3226587490007127-0.39776581517705556j),5.6
81,162,4.430969056516678,-3.251091808860303,17.44192597078562,6.287782826642674,(4.041015642955012-1.054570312581629j),(2.4582903709139243-0.4945617038495339j),5.6
82,164,3.66079365701512,-2.0447571848526387,16.487519293043853,7.097018724357438,(3.92416011407079-1.043305656162076j),(2.597367472129085-0.5922000836568713j),5.6
83,166,2.9813628025082517,-1.1489518753738504,15.861655124417938,7.983847312079275,(3.841574027112382-1.050696968032882j),(2.739867086732301-0.6906342440976474j),5.6
84,168,2.399183294503562,-0.5426669061022812,15.552869660273752,8.951425530368994,(3.7937876712040133-1.077053743363895j),(2.8857627262626875-0.7898094821423289j),5.6
85,170,1.9182762195428407,-0.19824403747451044,15.557940837128792,10.002866984071463,(3.7812253670014435-1.12261995397979j),(3.0350234819526363-0.8896625472995681j),5.6
86,172,1.539820207329223,-0.08141230364793967,15.882345478609135,11.1412166106728,(3.80420963334119-1.1875750688706914j),(3.1876130082634178-0.9901211644150651j),5.6
87,174,1.262010382988811,-0.15277109888330168,16.54056869931913,12.369421794745133,(3.862964674966077-1.2720348341469898j),(3.3434883938440705-1.0911036408037178j),5.6
88,176,1.0801922542766087,-0.37040042000005086,17.556267268669064,13.690299786389456,(3.957619082082717-1.3760517685769764j),(3.5025989295357087-1.19251856388266j),5.6
89,178,0.9872684524901353,-0.6929680298511159,18.96228801866964,15.106501340148922,(4.08820765657763-1.4996153424694214j),(3.6648847865735643-1.2942645947759532j),5.6
90,180,0.9743132404212508,-1.0826192997465407,20.800541423889857,16.620470562170297,(4.25467230498769-1.642651819790366j),(3.8302756215959617-1.3962303623607273j),5.6
91,182,1.031288107129067,-1.507094702200591,23.121729329553702,18.234401036251665,(4.456861964478929-1.805023755836672j),(3.9986891282835084-1.4982944609117854j),5.6
