,azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
0,0,1.758839184875499,-8.026910711272825,2.0655911900315687,1.3777183857174147,(1.4283310988303837+0.15956648189879066j),(1.136879974702454+0.2919286022950853j),5.6
1,2,1.8812779631469732,-9.034006758664578,1.9889659761069265,1.2897322443676218,(1.4010758003120447+0.16109803812241064j),(1.093865266555357+0.30527204751074033j),5.6
2,4,2.064788177742626,-10.27280428507739,1.9417462592639516,1.2070177573910998,(1.3843169880490072+0.15941372545322605j),(1.0515205740521636+0.31831154508768356j),5.6
3,6,2.3107362271096994,-11.748471367761613,1.922766666896571,1.1294134669129234,(1.3779958433415844+0.1545772383951999j),(1.0098677106845717+0.33102971744184173j),5.6
4,8,2.619175533895168,-13.457671304651063,1.9314777964288017,1.0567497813145774,(1.3820156916279185+0.1466643260067298j),(0.9689273417644709+0.3434087763814628j),5.6
5,10,2.988775919258174,-15.388710338521317,1.9679229662287139,0.9888501919390069,(1.3962418943345978+0.13576280320340858j),(0.9287191585295016+0.3554306071784779j),5.6
6,12,3.4168217704197184,-17.522546070326825,2.0327024107944234,0.9255323969153106,(1.420501712101755+0.12197252440778114j),(0.8892620402351574+0.36707685940701296j),5.6
7,14,3.8992888131746866,-19.834490758970063,2.126925346337375,0.8666093400287083,(1.4545841558960069+0.10540531179061066j),(0.8505742031536825+0.3783290432390648j),5.6
8,16,4.431001167986471,-22.2963198455035,2.2521504615982084,0.8118901727792018,(1.4982398461423687+0.08618483062290691j),(0.8126733355113962+0.38916862993821j),5.6
9,18,5.005858761130517,-24.878444743036667,2.4103155340245594,0.7611811478765124,(1.5511809033627533+0.06444640461090297j),(0.7755767175238677+0.399577155392316j),5.6
10,20,5.617113632433437,-27.55183987480802,2.603657034199694,0.7142864524484507,(1.6130808968026673+0.040336764495878585j),(0.7393013258594204+0.40953632565494563j),5.6
11,22,6.257666254173983,-30.289509079538444,2.8346207612570864,0.6710089891675065,(1.6835748800710777+0.014013723657316374j),(0.7038639220703209+0.41902812360901476j),5.6
12,24,6.920352034310447,-33.06739971461664,3.105764747039676,0.6311511133107379,(1.7622595448069482-0.01435422503948891j),(0.6692811247832539+0.4280349160052256j),5.6
13,26,7.598193441743968,-35.864786356000465,3.4196558734559663,0.5945153334240993,(1.848693524726766-0.04458839635255346j),(0.6355694657274167+0.4365395602451918j),5.6
14,28,8.28460225312662,-38.664224563529146,3.7787618606660835,0.5609049827275486,(1.9423978830191588-0.07650048829108233j),(0.6027454299863367+0.4445255103569812j),5.6
15,30,8.973526185527582,-41.45121098944388,4.185340496529921,0.5301248676587763,(2.042856815862566-0.10989325008287887j),(0.5708254811758442+0.4519769216443936j),5.6
16,32,9.659542206968379,-44.21368564443293,4.64132818181339,0.5019818989880793,(2.149518603812527-0.14456124541948923j),(0.5398260725470329+0.45887875347037455j),5.6
17,34,10.337903939588086,-46.94148873647092,5.148230051213056,0.47628570978241563,(2.2617968408950935-0.18029171287119616j),(0.5097636452796637+0.4652168695711763j),5.6
18,36,11.004552790843626,-49.62585160166603,5.707014086739911,0.45284926317427415,(2.379071968475065-0.2168655241297946j),(0.4806546154429433+0.4709781351906588j),5.6
19,38,11.656102465950738,-52.25896865290752,6.318011756146594,0.4314894514747616,(2.5006931373497645-0.25405823930426463j),(0.45251535124549236+0.4761505101981202j),5.6
20,40,12.289805235224167,-54.833670331385264,6.980827773694383,0.41202768673386597,(2.625980417099182-0.2916412568653297j),(0.4253621422669023+0.48072313722139215j),5.6
21,42,12.903506540617853,-57.34319756337714,7.694261583192326,0.39429048147958984,(2.754227366596029-0.3293830540356166j),(0.39921116235818+0.48468642370941306j),5.6
22,44,13.495592761429476,-59.78106586063971,8.45624309439903,0.37811001714976267,(2.884703973792808-0.36705051148719725j),(0.37407842782495226+0.4880321167564432j),5.6
