,azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
0,0,1.5247548141074057,-11.867261250630541,3.9217560995016276,2.7606102697359485,(1.9787513199086046+0.07936821442859152j),(1.6109961313230954+0.40657316020363315j),5.6
1,2,1.753631386690973,-12.797380771869948,3.826772126087457,2.5554622114347936,(1.9530339995058046+0.11149135778981782j),(1.5361569348387523+0.4423619366328919j),5.6
2,4,2.060950801945626,-14.089690410874397,3.8061212796814266,2.3680318671978107,(1.946190342140959+0.13588389101980572j),(1.4628292200859419+0.4776636264784716j),5.6
3,6,2.4434401735843774,-15.765764832504187,3.8573048504054563,2.1975559750183713,(1.958062094165586+0.15263579461363697j),(1.3910302084079862+0.5124362734182719j),5.6
4,8,2.8956541740114226,-17.82967680843528,3.9800559090515213,2.043260575336653,(1.9884305307375976+0.16186393508782648j),(1.3207759288953935+0.5466365529189974j),5.6
5,10,3.4103480629530507,-20.268322973394763,4.176232445597648,1.904363534489083,(2.037015246993787+0.16371111481047407j),(1.2520816576567038+0.5802198351045266j),5.6
6,12,3.978891713648918,-23.053610993567997,4.449670794498885,1.7800766764414764,(2.1034727525071166+0.15834511030978798j),(1.1849623163619771+0.6131402655539224j),5.6
7,14,4.591693749483081,-26.14586506500164,4.806000210758741,1.669607590805753,(2.187394925278404+0.14595770491832835j),(1.119432826969378+0.6453508632589712j),5.6
8,16,5.238623564680632,-29.49770791668103,5.252419756774644,1.5721611849202008,(2.2883073910212985+0.12676372104014022j),(1.0555084198175484+0.6768036351959577j),5.6
9,18,5.909424424064081,-33.05777690976479,5.797439066901447,1.4869410470832016,(2.4056679021569085+0.10100005660110101j),(0.9932048926472499+0.7074497072617718j),5.6
10,20,6.594106340290676,-36.77384863002527,6.450585083256838,1.413150686817137,(2.5388647984771744+0.06892472930882734j),(0.9325388186268639+0.7372394716583955j),5.6
11,22,7.283300761162947,-40.595189935063026,7.222077504611094,1.349994716165207,(2.687215637606723+0.030815931155560472j),(0.8735277021217442+0.7661227511248523j),5.6
12,24,7.968556376179096,-44.474153084080214,8.122476454561609,1.2966800332363457,(2.849966087898896-0.013028905858544326j),(0.8161900817454384+0.794048980666004j),5.6
13,26,8.642558506389511,-48.36715237197121,9.162306741653996,1.2524170653061435,(3.026289179018323-0.062294033507229785j),(0.7605455811582942+0.8209674075666684j),5.6
14,28,9.299262150404182,-52.23519828804386,10.351664029481285,1.2164211234877333,(3.2152850059392186-0.11664630325783804j),(0.7066149090844625+0.8468273104637627j),5.6
15,30,9.933938110485109,-56.04414495809915,11.699809227050308,1.187913914173071,(3.4159809802736874-0.17573607898984028j),(0.6544198110606341+0.8715782380626738j),5.6
16,32,10.543140308068477,-59.76475832526192,13.21475840805972,1.1661252440405074,(3.6273327186168363-0.23919815323600063j),(0.6039829764564764+0.8951702677096034j),5.6
17,34,11.124608916990875,-63.37266279125565,14.902876523638172,1.1502949454909437,(3.848225650887896-0.306652675655377j),(0.5553279052465276+0.9175542834870575j),5.6
18,36,11.67712765458284,-66.84818866492252,16.768484032367674,1.1396750381462575,(4.077477422521425-0.3777061042605866j),(0.5084787398346797+0.9386822728071482j),5.6
19,38,12.200354462657053,-70.17612618935685,18.81348627574064,1.1335321298428387,(4.3138411528923815-0.45195219144591353j),(0.46346006786541505+0.9585076396863113j),5.6
20,40,12.694643302162657,-73.34539058396727,21.03703591729694,1.131150047860616,(4.556009598705008-0.5289730180309501j),(0.42029670240369965+0.9769855320367808j),5.6
21,42,13.160871578326557,-76.34860944528161,23.435238983049125,1.1318326784666966,(4.8026202555307265-0.608340089271701j),(0.3790134460764263+0.9940731794792415j),5.6
22,44,13.600283631248171,-79.18165230399532,26.00091493751641,1.1349069807931353,(5.052261413460701-0.6896155070562792j),(0.3396348457859988+1.009730237400592j),5.6
23,46,14.014356548104361,-81.84312777974758,28.723420762275065,1.1397261301700465,(5.303479164365347-0.7723532322828116j),(0.302184944415429+1.023919132323784j),5.6
