,azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
0,0,1.526068962311483,-3.797053113200941,1.0991039180634024,0.7734493161377507,(1.0435372904666482+0.1006669830129445j),(0.8678820404791922+0.14223248557001567j),5.6
1,2,1.6547953915942655,-4.171817656513624,1.0675785467578518,0.7293236533640429,(1.0278633862448534+0.10523975472755034j),(0.8409841630165655+0.1485573657526603j),5.6
2,4,1.8372610830137819,-4.671127739468897,1.0489003685709812,0.6870813016180979,(1.0183977551869074+0.10847294962915247j),(0.8143541276322225+0.1546242426867791j),5.6
3,6,2.074148205161423,-5.301017110293056,1.0426071851553707,0.6467045150459139,(1.0150973872397822+0.11038333014698584j),(0.7880154823230165+0.16042479442136565j),5.6
4,8,2.3651284897933484,-6.06332670748651,1.0484266092343724,0.6081702696761521,(1.0178934889998972+0.11099303710588539j),(0.7619911204585939+0.16595120372690514j),5.6
5,10,2.7088771884007605,-6.955616607943894,1.0662682969153945,0.571450711512872,(1.0266916296701865+0.11032948146606612j),(0.7363033204597085+0.17119617925900082j),5.6
6,12,3.103136472217291,-7.971461527092493,1.096211557712188,0.5365135927613803,(1.04137194596376+0.10842521787775969j),(0.7109737842321049+0.17615297583651748j),5.6
7,14,3.5448217077421957,-9.101074208777309,1.1384885940919558,0.5033226948873873,(1.0617894118468372+0.10531779992908641j),(0.6860236738268004+0.1808154137140061j),5.6
8,16,4.030160779984228,-10.332153646305507,1.1934636913499665,0.47183823759544286,(1.0877741798112572+0.10104961695084747j),(0.6614736458533464+0.18517789672886031j),5.6
9,18,4.554854502791848,-11.650832140873057,1.2616087468118538,0.4420172731533077,(1.119132000992941+0.09566771224080403j),(0.6373438832272966+0.18923542920409406j),5.6
10,20,5.114245327992814,-13.042598780483312,1.3434755940252936,0.41381406579698965,(1.155644731886661+0.0892235825771469j),(0.6136541238967959+0.19298363148579623j),5.6
11,22,5.703482129272608,-14.49310174201172,1.4396656417326956,0.3871804562105641,(1.197070935626864+0.0817729589174788j),(0.5904236862546355+0.19641875399271783j),5.6
12,24,6.317670688755301,-15.988768248046634,1.550797407793282,0.3620662112945105,(1.2431465857982955+0.07337556821805724j),(0.5676714910082359+0.19953768965034374j),5.6
13,26,6.952002314697738,-17.51721883807721,1.677472583380098,0.33841935961041564,(1.293585880490111+0.06409487636872535j),(0.5454160793442147+0.20233798457828156j),5.6
14,28,7.601856255250396,-19.067484060876424,1.820241311094699,0.31618651302253337,(1.3480821738157975+0.053997812314690335j),(0.5236756272898461+0.2048178468911328j),5.6
15,30,8.262874701218895,-20.630052779538833,1.9795674003069328,0.2953131751457943,(1.4063090313728015+0.04315447353664996j),(0.5024679562329923+0.20697615346902629j),5.6
16,32,8.93101175687057,-22.19679158851989,2.155794232218686,0.2757440372647875,(1.4679214151295268+0.03163781318000953j),(0.48181053962341697+0.2088124545437347j),5.6
17,34,9.602559563448157,-23.76077635052978,2.3491121239636352,0.2574232624065062,(1.5325570019933852+0.019523309265683256j),(0.46172050593098+0.2103269759430445j),5.6
