,azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
0,0,1.6716551393442591,-10.651199612100209,19.28844529129852,13.12597913696183,(4.391284509786599+0.07117334758735384j),(3.549237987078649+0.7272474462242771j),5.6
1,2,1.8202571279019115,-11.681758074819541,18.362983029623674,12.07584472438829,(4.281863335747513+0.16920225650049053j),(3.3726184100444496+0.8374304655417889j),5.6
2,4,2.0475378407088307,-13.184025019256014,17.844670329452665,11.1366544611332,(4.2173200711684835+0.242655613518658j),(3.2001164313555526+0.946524847482304j),5.6
3,6,2.3509071182977377,-15.202139206189997,17.703721614974192,10.303241038285549,(4.197455643030381+0.29169802838998693j),(3.031736809051922+1.0544254164829385j),5.6
4,8,2.725290409557115,-17.754532811204722,17.925000657845015,9.57040109292445,(4.221940959945256+0.3165678261945622j),(2.867478801841685+1.1610195579373441j),5.6
5,10,3.163584418218535,-20.83147413024089,18.5076492537101,8.932907123186691,(4.290313987954421+0.3175769803885867j),(2.7073375930194015+1.2661873007618603j),5.6
6,12,3.6571306904608214,-24.39604048196673,19.464483292026742,8.38551635451982,(4.401975989867671+0.29511129537054853j),(2.551305596758084+1.3698014843292792j),5.6
7,14,4.196164333760201,-28.388057192582167,20.82115603727004,7.922977187501056,(4.5561870567895255+0.24963080902331725j),(2.3993736377249504+1.4717280095491807j),5.6
8,16,4.770249999225732,-32.73009498073748,22.61508871777559,7.540033855102769,(4.7520610888521375+0.18167037621203552j),(2.2515319968481777+1.5718261743181483j),5.6
9,18,5.368734631229861,-37.33444121565396,24.894169604085313,7.231429905870124,(4.988560408356092+0.09184038473034628j),(2.1077713181274564+1.6699490939395032j),5.6
10,20,5.981225068428114,-42.11001597861166,27.715224774978637,6.991911108986208,(5.264490211974931-0.019172454166879183j),(1.968083373622501+1.7659442073454312j),5.6
11,22,6.5980608993714105,-46.96842823293621,31.142266798637664,6.816228347077796,(5.578493088746015-0.15060430754336607j),(1.8324616861197023+1.8596538699395468j),5.6
12,24,7.210726234285029,-51.82867850503432,35.24453163363448,6.699141022567369,(5.92904384670578-0.30161349020692874j),(1.7009020114175577+1.950916033591163j),5.6
13,26,7.812143305599161,-56.62032581088373,40.09431915826652,6.635421452899039,(6.314444902644011-0.47127988471776616j),(1.5734026846060916+2.039565013666733j),5.6
