,azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
0,0,1.1196283037927786,-5.8777475001684385,8.269188750279127,6.389988473354499,(2.87405001835543+0.09500127509818732j),(2.504628201113601+0.3417982556142511j),5.6
1,2,1.247856438250775,-6.410136001608401,7.831090282917831,5.8753884754444705,(2.7931446328568246+0.1715614842001137j),(2.3876444776753845+0.41778262729643256j),5.6
2,4,1.4599982662429865,-7.397548989770147,7.573142042964461,5.4109843266772115,(2.7421294812683685+0.23209470248872555j),(2.2733127419152126+0.49298428385005255j),5.6
3,6,1.7539951362819137,-8.899725046600247,7.479907284075191,4.99455386269507,(2.720910304425452+0.27668465686876154j),(2.1616380522552685+0.5673401041149113j),5.6
4,8,2.125067079454154,-10.951303194900783,7.542430018450505,4.623858990797876,(2.7293083024151255+0.3054606501963381j),(2.0526218589818006+0.6407827204505233j),5.6
5,10,2.56626055051149,-13.558122693380561,7.758114004372468,4.29665122818962,(2.767057960960226+0.31859730861873803j),(1.9462629144430759+0.7132404195312863j),5.6
6,12,3.0689978610906623,-16.697203188045872,8.130501556946292,4.010675741616341,(2.8338042695122008+0.3163145887257086j),(1.8425581003494855+0.7846371062171582j),5.6
7,14,3.6235455250477737,-20.31995985795707,8.668951501468928,3.7636741898163053,(2.9290994224584184+0.29887802666420543j),(1.7415031694465708+0.8548923327670295j),5.6
8,16,4.219405809058835,-24.357715802155283,9.388215485675419,3.5533866665761535,(3.0523991139798525+0.2665992022689285j),(1.6430934003739595+0.9239213950459707j),5.6
9,18,4.8456853130235125,-28.72840108892424,10.307912139073283,3.3775530326512375,(3.203058554570786+0.2198363824852227j),(1.5473241658991188+0.991635496680022j),5.6
10,20,5.491490652560102,-33.343397476708844,11.451899277529836,3.233913910016065,(3.3803283527023247+0.15899530007713913j),(1.454191415918097+1.0579419813421644j),5.6
11,22,6.146361198645084,-38.113713598774574,12.847545543941154,3.1202115924896487,(3.58335041830115+0.08453001598325116j),(1.3636920776236199+1.122744632548392j),5.6
12,24,6.800703571852326,-42.95497849305412,14.52490457339287,3.0341911035099822,(3.8111540552799266-0.0030561930960619765j),(1.2758243760833397+1.185944039532026j),5.6
13,26,7.446167528998737,-47.791044519353726,16.515796970852367,2.9736016052985095,(4.062652418017543-0.10320998608941734j),(1.1905880791463683+1.2474380269548746j),5.6
14,28,8.075906580027247,-52.5562301705475,18.852808059694542,2.936198334593113,(4.33663951112118-0.21532721675904487j),(1.107984671136113+1.3071221454479731j),5.6
15,30,8.684691980318608,-57.196379401072434,21.56821243921932,2.9197452090838083,(4.631787912793394-0.33875237286302473j),(1.0280174602185554+1.3648902192372832j),5.6
16,32,9.268881195300908,-61.668975406259996,24.69283978565563,2.9220182162615234,(4.9466473993761655-0.47277826927709676j),(0.9506916246844273+1.4206349464293802j),5.6
17,34,9.826268566346437,-65.94255296928517,28.25489992119675,2.9408096630381766,(5.27964464205241-0.6166460693493705j),(0.876014203671819+1.474248546888687j),5.6
18,36,10.355860020382304,-69.99563350720501,32.27878880646856,2.9739333307110294,(5.629084136054674-0.7695457073404812j),(0.8039940381071902+1.5256234520349783j),5.6
19,38,10.85761503747902,-73.81537768879735,36.78390060662578,3.019230546085017,(5.993150508071622-0.9306167816167119j),(0.7346416678739609+1.5746530303239445j),5.6
20,40,11.332191524679292,-77.39611785021914,41.7834741434033,3.0745771461890223,(6.36991232888793-1.0989499832498562j),(0.6679691914226646+1.6212323416152215j),5.6
21,42,11.78071766569796,-80.7378975711043,47.28350466650096,3.1378912815776467,(6.757327535749949-1.2735891178462833j),(0.6039900942284948+1.6652589130977502j),5.6
22,44,12.204603255608095,-83.84510994111955,53.28175374840597,3.207141972063931,(7.153250542831637-1.4535337697779394j),(0.5427190526549484+1.706633528895189j),5.6
23,46,12.605393827043237,-86.72529181806789,59.766891025234955,3.2803582995477245,(7.555441088736128-1.637742647632037j),(0.4841717198949751+1.7452610249477485j),5.6
24,48,12.984664799336343,-89.38810169153169,66.71780129443243,3.3556390958190385,(7.961574837791913-1.8251376377334199j),(0.4283645006830228+1.7810510802258377j),5.6
25,50,13.343949670169227,-91.84448567735933,74.1030889913577,3.4311629596621374,(8.36925571744215-2.0146085792082795j),(0.37531432140847976+1.8139189948307588j),5.6
26,52,13.684695190246273,-94.10602030249336,81.88080920322554,3.5051984178109197,(8.776029938048543-2.2050187594896355j),(0.3250384020599846+1.8437864450627712j),5.6
27,54,14.008236719255535,-96.18441146437397,89.99845009799412,3.576114029187713,(9.179401604620766-2.3952111136765835j),(0.27755403606991536+1.8705822051567296j),5.6
28,56,14.315787902944866,-98.09112489949051,98.39318597400846,3.6423882219975576,(9.576849793245984-2.584015095082231j),(0.23287838360575375+1.8942428251010293j),5.6
29,58,14.60843998692457,-99.83712310221277,106.9924131702905,3.702618649471011,(9.965846929130121-2.770254168021099j),(0.19102828315598153+1.9147132538595666j),5.6
30,60,14.887167228877061,-101.43268547687518,115.7145729915337,3.7555308526665945,(10.343878269146915-2.9527538577747947j),(0.152020085379581+1.931947397396673j),5.6
31,62,15.152835858890949,-102.88729147707298,124.47025684257146,3.7999860283429774,(10.708462260511276-3.130350277169823j),(0.11586951217933095+1.9459086012683897j),5.6
32,64,15.406214826380634,-104.20954982273348,133.16357924722132,3.8349877163414057,(11.057171519492023-3.3018990347610293j),(0.08259154283299308+1.9565700481694672j),5.6
33,66,15.647987167339469,-105.40716011670436,141.69379471529263,3.8596872440795167,(11.387654150804103-3.4662844166292412j),(0.05220032784037887+1.9639150617714796j),5.6
34,68,15.87876125504091,-106.48689605795825,149.95712492742126,3.8733877949452653,(11.697655110160337-3.622428722716439j),(0.02470912996818342+1.9679373094287025j),5.6
35,70,16.099081494119744,-107.45460186468628,157.84875386036543,3.875547001780554,(11.985037300061805-3.7693016298105855j),(0.00013029086341553864+1.9686408978797647j),5.6
36,72,16.30943821394551,-108.31519546343542,165.26494070031538,3.865778004860473,(12.247802082625-3.9059294470282078j),(-0.021524779370747815+1.9660403578598058j),5.6
37,74,16.510276638705886,-109.07267350504335,172.10519409489152,3.8438489544638537,(12.484108893541158-4.031404126244114j),(-0.04024559304960906+1.9601605155455863j),5.6
38,76,16.70200487904713,-109.7301143895045,178.274446824589,3.8096809794902886,(12.692293648086075-4.144891889463817j),(-0.0560225602331883+1.951036250876751j),5.6
39,78,16.885000918148158,-110.28967628039021,183.68516761971094,3.763344684046365,(12.87088564359934-4.24564133778388j),(-0.06884695283840703+1.938712144989872j),5.6
40,80,17.059618563522275,-110.75258762337346,188.2593467990027,3.7050552717394054,(13.01862268266243-4.332990912230252j),(-0.07871086198927735+1.9232420211570644j),5.6
41,82,17.22619231032041,-111.11912800099029,191.93029475486387,3.6351664311703686,(13.134464167056514-4.406375585350425j),(-0.08560715289596921+1.9046883856797718j),5.6
42,84,17.385041014648912,-111.3885973028791,194.64419703509097,3.5541631445484088,(13.217601943921448-4.465332673736078j),(-0.08952942124070074+1.8831217770714441j),5.6
43,86,17.53647020542187,-111.55927120174748,196.3613767355697,3.462653603581235,(13.267468721671992-4.509506675349869j),(-0.09047195452074686+1.858620033526603j),5.6
44,88,17.680772766726825,-111.62834083809119,197.05722387795998,3.361360432209797,(13.283743913423427-4.538653051351914j),(-0.08842970117798288+1.8312674900623802j),5.6
45,90,17.818227592424535,-111.59183446879523,196.72276205358799,3.25111142418368,(13.266356809022493-4.55264088955965j),(-0.08339824965037224+1.80115411781972j),5.6
46,92,17.94909564014634,-111.44451867610714,195.36483444160405,3.1328300050128894,(13.21548702231739-4.5514544054142405j),(-0.0753738187329489+1.7683746188131353j),5.6
47,94,18.07361257817673,-111.17977663982644,193.00590386404514,3.007525622906988,(13.131562207012761-4.535193255793987j),(-0.06435325993444252+1.7330274899270348j),5.6
