,azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
0,0,1.0038941230805263,-4.744943135123367,6.1473006375063965,4.87859808270665,(2.4772103577923987+0.10358320690369145j),(2.191630035422694+0.27451023758645404j),5.6
1,2,1.1630956906037668,-5.177077403744598,5.862095186752501,4.484802236878254,(2.4152070433194113+0.16991210861150188j),(2.090485738214873+0.3386319760425338j),5.6
2,4,1.4076166269791004,-6.057722586509345,5.708220052514598,4.127993874447934,(2.3787587961913816+0.22299471306899907j),(1.9915698574265577+0.4020489739296638j),5.6
3,6,1.7346567795796666,-7.443554823845978,5.675418161223734,3.806555687499201,(2.367762817368667+0.2629018864712237j),(1.894888880774673+0.4647061620160725j),5.6
4,8,2.138757661249001,-9.366553744285037,5.75807736184937,3.5188579002655778,(2.382042647376399+0.28974158819438617j),(1.8004465520230157+0.5265454525242936j),5.6
5,10,2.612388863833371,-11.831217979767754,5.9551253463501075,3.2632625789641807,(2.42134609229763+0.30365843914685575j),(1.7082446224633756+0.5875056500061424j),5.6
6,12,3.146513616827073,-14.815241907574821,6.269851674745433,3.038126866339323,(2.4853426724703853+0.3048335203733272j),(1.6182835321263072+0.647522413502519j),5.6
7,14,3.7310595774454764,-18.273020317418922,6.70965648220021,2.841805354349233,(2.573620678175117+0.2934843898227996j),(1.530563019042318+0.7065282719674406j),5.6
8,16,4.355304200878444,-22.140977539260966,7.2857254619107295,2.672651804713364,(2.6856839320834105+0.2698652976203512j),(1.4450826561099095+0.7644526942353549j),5.6
9,18,5.008228079435088,-26.34366906153311,8.01263101452087,2.5290204189487024,(2.820948372228402+0.23426757296476175j),(1.361842316167238+0.8212222140474258j),5.6
10,20,5.678884817640367,-30.799766631674288,8.907860072849848,2.4092668476971464,(2.978738581464915+0.18702014902740832j),(1.2808425667002405+0.8767606098735768j),5.6
11,22,6.35679998764017,-35.42730632288754,9.991270076821834,2.311749114258721,(3.158284399624618+0.12849018604392143j),(1.2020849962637856+0.9309891385060383j),5.6
12,24,7.032371707581735,-40.14786998124664,11.284475897546947,2.234828610011887,(3.35871776253261+0.05908374729892962j),(1.1255724751736744+0.9838268207074331j),5.6
13,26,7.6972221347473635,-44.889619350252474,12.810172183258736,2.176871300410465,(3.579069917531878-0.020753522040667827j),(1.0513093533741915+1.0351907765810147j),5.6
14,28,8.344449661981217,-49.58926878326907,14.591397594206505,2.1362492601070544,(3.818269167879703-0.11053576717852198j),(0.9793015986578442+1.0849966078164692j),5.6
15,30,8.968750736981308,-54.193160343321246,16.650749658270747,2.111342634854051,(4.075139298127072-0.20973640392440784j),(0.9095568786399961+1.133158823542719j),5.6
