,azimuth,differential_reflectivity,differential_phase,horizontal_power,vertical_power,resultant_voltage_phi,resultant_voltage_theta,frequency
0,0,1.548212262496438,-7.7691852897717775,2.925777635614499,2.048425104180234,(1.7035470141777003+0.15396495088409579j),(1.3949224207181283+0.32033817187171326j),5.6
1,2,1.7758634490975689,-8.429376552088463,2.858137404038157,1.8988766696588815,(1.680745241330447+0.18229875968644063j),(1.3333814412861824+0.34780828295551675j),5.6
2,4,2.0767078335454383,-9.425832688304808,2.8408007806471898,1.761043141380398,(1.6729672768744528+0.20489331651976392j),(1.2729969649539412+0.3748624662438905j),5.6
3,6,2.4479162856609658,-10.781207955691787,2.871879732175549,1.6344612175631503,(1.6800836090557456+0.22180802230255234j),(1.2137888194534365+0.40146969914675146j),5.6
4,8,2.884884133512491,-12.503189642685745,2.9508578811890342,1.5186576431669283,(1.7019144182663926+0.2331205569785727j),(1.1557757728565772+0.4275979490651353j),5.6
5,10,3.381541151197519,-14.584621900223986,3.078525148706701,1.4131510664888378,(1.7382288358342255+0.23892606174524755j),(1.0989758663782134+0.45321420057969564j),5.6
6,12,3.930673921003403,-17.005136936591754,3.256887317357274,1.3174536374694468,(1.788744092120973+0.23933635381945353j),(1.0434067165756549+0.4782844982583673j),5.6
7,14,4.5242375814276325,-19.73381459142105,3.4890512515205776,1.2310723887900001,(1.8531245952978144+0.2344791799347838j),(0.9890857843073096+0.5027740049676339j),5.6
8,16,5.153653269714168,-22.73230618858165,3.7790867131264756,1.1535104417518518,(1.9309809889144982+0.22449751352133696j),(0.9360306081450651+0.5266470757228521j),5.6
9,18,5.810095534416978,-25.957913012066825,4.131865974399586,1.0842680793085342,(2.0218692423741653+0.20954889916414432j),(0.8842590003537442+0.549867347277442j),5.6
10,20,6.484771800587924,-29.366253402396328,4.552882756066423,1.0228437284138356,(2.1252898334888215+0.18980484644887347j),(0.8337892040644403+0.5723978438109483j),5.6
11,22,7.169189124242802,-32.91332832423299,5.048052411509949,0.9687348929407802,(2.240687086241504+0.16545027367915524j),(0.7846400108735028+0.5942010991888265j),5.6
12,24,7.85539743666696,-36.556955401245396,5.6234957295500845,0.9214390766904248,(2.3674487295412416+0.136683000199897j),(0.7368308387732843+0.6152392963092352j),5.6
13,26,8.536196168708525,-40.2576553721553,6.285309231625504,0.8804547333511876,(2.504905743996055+0.10371328420734868j),(0.6903817710525813+0.6354744239931998j),5.6
14,28,9.205292770263604,-43.979131978325704,7.039325378688527,0.8452822766025149,(2.6523325634189208+0.06676340102288195j),(0.6453135575489886+0.6548684517107104j),5.6
15,30,9.857405871587058,-47.68849256914786,7.89086665973957,0.8154251788625256,(2.8089476958395885+0.026067254881089352j),(0.6016475803682197+0.6733835221473661j),5.6
16,32,10.48831106050375,-51.35632862200927,8.844498083887158,0.7903911815131329,(2.973914825200321-0.018129984580861458j),(0.5594057868648206+0.6909821612279755j),5.6
17,34,11.094832270152235,-54.95673218827393,9.90378311330398,0.769693632908689,(3.146344449632255-0.06557223171651949j),(0.5186105932767899+0.707627504729561j),5.6
18,36,11.674785901634843,-58.46728225053515,11.071048525267981,0.7528529632819764,(3.325296105328775-0.11599283233572322j),(0.4792847628989034+0.7232835400691201j),5.6
19,38,12.226887716822308,-61.86900424071611,12.347164045520353,0.7393982980479064,(3.5097812165998237-0.16911492282885993j),(0.4414512630406644+0.7379153612764193j),5.6
20,40,12.750634095306326,-65.1462900868472,13.731342820720714,0.7288692032627972,(3.6987666028599078-0.22465181568127474j),(0.40513310525632984+0.751489434581858j),5.6
21,42,13.246169459039583,-68.28676354490598,15.220968864496863,0.7208175494270324,(3.891178662201952-0.282307426967644j),(0.3703531734307237+0.763973871514481j),5.6
22,44,13.714150676596695,-71.28108175593681,16.811457493094068,0.7148094727282323,(4.085908239068194-0.34177676194955253j),(0.3371340442997046+0.7753387059230032j),5.6
23,46,14.155617360047966,-74.12267382083182,18.496154441282183,0.7104274064852498,(4.281816170514443-0.4027464750971974j),(0.3054978048593495+0.7855561709460174j),5.6
24,48,14.571874554486952,-76.80742651869208,20.26627880298593,0.7072721502121818,(4.477739491958698-0.46489552067038165j),(0.2754658709190292+0.7946009716650254j),5.6
25,50,14.964391802044219,-79.33333362267143,22.11091416827493,0.7049649395616229,(4.67249826935086-0.5278959094254816j),(0.2470588107823608+0.8024505489912936j),5.6
26,52,15.334720278957182,-81.7001277938398,24.017051332951123,0.7031494775584735,(4.864903010669364-0.5914135860218979j),(0.22029617771977694+0.8090853302591327j),5.6
27,54,15.684427875033053,-83.90891319465831,25.969684754154784,0.7014938860857866,(5.05376259587092-0.6551094402699519j),(0.19519635454127093+0.8144889620244002j),5.6
28,56,16.01505079742311,-85.96181382287398,27.951963540629173,0.6996925365468931,(5.2378926511422454-0.7186404634719898j),(0.1717764131888826+0.8186485206844604j),5.6
29,58,16.328059515196763,-87.86164830268736,29.9453962370654,0.6974677199974189,(5.416124280914731-0.781661058740474j),(0.1500519918589447+0.821554696740626j),5.6
30,60,16.624836529734115,-89.61163746001837,31.930107034603306,0.6945711197398986,(5.587313059840052-0.843824511343503j),(0.13003719173039796+0.8232019487991815j),5.6
31,62,16.906663441707003,-91.21514709924904,33.88513937047614,0.6907850533348475,(5.750348177162699-0.9047846218176765j),(0.11174449491251925+0.823588623762855j),5.6
32,64,17.174714972785132,-92.67546531216446,35.78880123086046,0.6859234560483665,(5.904161617893049-0.9641975008570588j),(0.09518470474875418+0.8227170400752977j),5.6
